# Region type : patch cell1_to_fins
# Faces  :    307
# Area   :    2.536208e-04
# Time        	areaAverage(T)
0             	3.000000e+02
0.00025       	3.000000e+02
0.0005        	3.000000e+02
0.00075       	3.000000e+02
0.001         	3.000000e+02
0.00125       	3.000000e+02
0.0015        	3.000000e+02
0.00175       	3.000000e+02
0.002         	3.000000e+02
0.00225       	3.000000e+02
0.0025        	3.000000e+02
0.00275       	3.000000e+02
0.003         	3.000000e+02
0.00325       	3.000000e+02
0.0035        	3.000000e+02
0.00375       	3.000000e+02
0.004         	3.000000e+02
0.00425       	3.000000e+02
0.0045        	3.000000e+02
0.00475       	3.000000e+02
0.005         	3.000000e+02
0.00525       	3.000000e+02
0.0055        	3.000000e+02
0.00575       	3.000000e+02
0.006         	3.000000e+02
0.00625       	3.000000e+02
0.0065        	3.000000e+02
0.00675       	3.000000e+02
0.007         	3.000000e+02
0.00725       	3.000000e+02
0.0075        	3.000000e+02
0.00775       	3.000000e+02
0.008         	3.000000e+02
0.00825       	3.000000e+02
0.0085        	3.000000e+02
0.00875       	3.000000e+02
0.009         	3.000000e+02
0.00925       	3.000000e+02
0.0095        	3.000000e+02
0.00975       	3.000000e+02
0.01          	3.000000e+02
0.01025       	3.000000e+02
0.0105        	3.000000e+02
0.01075       	3.000000e+02
0.011         	3.000000e+02
0.01125       	3.000000e+02
0.0115        	3.000000e+02
0.01175       	3.000000e+02
0.012         	3.000000e+02
0.01225       	3.000000e+02
0.0125        	3.000000e+02
0.01275       	3.000000e+02
0.013         	3.000000e+02
0.01325       	3.000000e+02
0.0135        	3.000000e+02
0.01375       	3.000000e+02
0.014         	3.000000e+02
0.01425       	3.000000e+02
0.0145        	3.000000e+02
0.01475       	3.000000e+02
0.015         	3.000000e+02
0.01525       	3.000000e+02
0.0155        	3.000000e+02
0.01575       	3.000000e+02
0.016         	3.000000e+02
0.01625       	3.000000e+02
0.0165        	3.000000e+02
0.01675       	3.000000e+02
0.017         	3.000000e+02
0.01725       	3.000000e+02
0.0175        	3.000000e+02
0.01775       	3.000000e+02
0.018         	3.000000e+02
0.01825       	3.000000e+02
0.0185        	3.000000e+02
0.01875       	3.000000e+02
0.019         	3.000000e+02
0.01925       	3.000000e+02
0.0195        	3.000000e+02
0.01975       	3.000000e+02
0.02          	3.000000e+02
0.02025       	3.000000e+02
0.0205        	3.000000e+02
0.02075       	3.000000e+02
0.021         	3.000000e+02
0.02125       	3.000000e+02
0.0215        	3.000000e+02
0.02175       	3.000000e+02
0.022         	3.000000e+02
0.02225       	3.000000e+02
0.0225        	3.000000e+02
0.02275       	3.000000e+02
0.023         	3.000000e+02
0.02325       	3.000000e+02
0.0235        	3.000000e+02
0.02375       	3.000000e+02
0.024         	3.000000e+02
0.02425       	3.000000e+02
0.0245        	3.000000e+02
0.02475       	3.000000e+02
0.025         	3.000000e+02
0.02525       	3.000000e+02
0.0255        	3.000000e+02
0.02575       	3.000000e+02
0.026         	3.000000e+02
0.02625       	3.000000e+02
0.0265        	3.000000e+02
0.02675       	3.000000e+02
0.027         	3.000000e+02
0.02725       	3.000000e+02
0.0275        	3.000000e+02
0.02775       	3.000000e+02
0.028         	3.000000e+02
0.02825       	3.000000e+02
0.0285        	3.000000e+02
0.02875       	3.000000e+02
0.029         	3.000000e+02
0.02925       	3.000000e+02
0.0295        	3.000000e+02
0.02975       	3.000000e+02
0.03          	3.000000e+02
0.03025       	3.000000e+02
0.0305        	3.000000e+02
0.03075       	3.000000e+02
0.031         	3.000000e+02
0.03125       	3.000000e+02
0.0315        	3.000000e+02
0.03175       	3.000000e+02
0.032         	3.000000e+02
0.03225       	3.000000e+02
0.0325        	3.000000e+02
0.03275       	3.000000e+02
0.033         	3.000000e+02
0.03325       	3.000000e+02
0.0335        	3.000000e+02
0.03375       	3.000000e+02
0.034         	3.000000e+02
0.03425       	3.000000e+02
0.0345        	3.000000e+02
0.03475       	3.000000e+02
0.035         	3.000000e+02
0.03525       	3.000000e+02
0.0355        	3.000000e+02
0.03575       	3.000000e+02
0.036         	3.000000e+02
0.03625       	3.000000e+02
0.0365        	3.000000e+02
0.03675       	3.000000e+02
0.037         	3.000000e+02
0.03725       	3.000000e+02
0.0375        	3.000000e+02
0.03775       	3.000000e+02
0.038         	3.000000e+02
0.03825       	3.000000e+02
0.0385        	3.000000e+02
0.03875       	3.000000e+02
0.039         	3.000000e+02
0.03925       	3.000000e+02
0.0395        	3.000000e+02
0.03975       	3.000000e+02
0.04          	3.000000e+02
0.04025       	3.000000e+02
0.0405        	3.000000e+02
0.04075       	3.000000e+02
0.041         	3.000000e+02
0.04125       	3.000000e+02
0.0415        	3.000000e+02
0.04175       	3.000000e+02
0.042         	3.000000e+02
0.04225       	3.000000e+02
0.0425        	3.000000e+02
0.04275       	3.000000e+02
0.043         	3.000000e+02
0.04325       	3.000000e+02
0.0435        	3.000000e+02
0.04375       	3.000000e+02
0.044         	3.000000e+02
0.04425       	3.000000e+02
0.0445        	3.000000e+02
0.04475       	3.000000e+02
0.045         	3.000000e+02
0.04525       	3.000000e+02
0.0455        	3.000000e+02
0.04575       	3.000000e+02
0.046         	3.000000e+02
0.04625       	3.000000e+02
0.0465        	3.000000e+02
0.04675       	3.000000e+02
0.047         	3.000000e+02
0.04725       	3.000000e+02
0.0475        	3.000000e+02
0.04775       	3.000000e+02
0.048         	3.000000e+02
0.04825       	3.000000e+02
0.0485        	3.000000e+02
0.04875       	3.000000e+02
0.049         	3.000000e+02
0.04925       	3.000000e+02
0.0495        	3.000000e+02
0.04975       	3.000000e+02
0.05          	3.000000e+02
0.05025       	3.000000e+02
0.0505        	3.000000e+02
0.05075       	3.000000e+02
0.051         	3.000000e+02
0.05125       	3.000000e+02
0.0515        	3.000000e+02
0.05175       	3.000000e+02
0.052         	3.000000e+02
0.05225       	3.000000e+02
0.0525        	3.000000e+02
0.05275       	3.000000e+02
0.053         	3.000000e+02
0.05325       	3.000000e+02
0.0535        	3.000000e+02
0.05375       	3.000000e+02
0.054         	3.000000e+02
0.05425       	3.000000e+02
0.0545        	3.000000e+02
0.05475       	3.000000e+02
0.055         	3.000000e+02
0.05525       	3.000000e+02
0.0555        	3.000000e+02
0.05575       	3.000000e+02
0.056         	3.000000e+02
0.05625       	3.000000e+02
0.0565        	3.000000e+02
0.05675       	3.000001e+02
0.057         	3.000001e+02
0.05725       	3.000001e+02
0.0575        	3.000001e+02
0.05775       	3.000001e+02
0.058         	3.000001e+02
0.05825       	3.000001e+02
0.0585        	3.000001e+02
0.05875       	3.000001e+02
0.059         	3.000001e+02
0.05925       	3.000001e+02
0.0595        	3.000001e+02
0.05975       	3.000001e+02
0.06          	3.000001e+02
0.06025       	3.000001e+02
0.0605        	3.000001e+02
0.06075       	3.000001e+02
0.061         	3.000001e+02
0.06125       	3.000001e+02
0.0615        	3.000001e+02
0.06175       	3.000001e+02
0.062         	3.000001e+02
0.06225       	3.000001e+02
0.0625        	3.000001e+02
0.06275       	3.000001e+02
0.063         	3.000001e+02
0.06325       	3.000001e+02
0.0635        	3.000001e+02
0.06375       	3.000001e+02
0.064         	3.000001e+02
0.06425       	3.000001e+02
0.0645        	3.000001e+02
0.06475       	3.000001e+02
0.065         	3.000001e+02
0.06525       	3.000001e+02
0.0655        	3.000001e+02
0.06575       	3.000001e+02
0.066         	3.000001e+02
0.06625       	3.000001e+02
0.0665        	3.000001e+02
0.06675       	3.000001e+02
0.067         	3.000001e+02
0.06725       	3.000001e+02
0.0675        	3.000001e+02
0.06775       	3.000001e+02
0.068         	3.000001e+02
0.06825       	3.000001e+02
0.0685        	3.000001e+02
0.06875       	3.000001e+02
0.069         	3.000001e+02
0.06925       	3.000001e+02
0.0695        	3.000001e+02
0.06975       	3.000001e+02
0.07          	3.000001e+02
0.07025       	3.000001e+02
0.0705        	3.000001e+02
0.07075       	3.000001e+02
0.071         	3.000001e+02
0.07125       	3.000001e+02
0.0715        	3.000001e+02
0.07175       	3.000001e+02
0.072         	3.000001e+02
0.07225       	3.000001e+02
0.0725        	3.000001e+02
0.07275       	3.000001e+02
0.073         	3.000001e+02
0.07325       	3.000001e+02
0.0735        	3.000001e+02
0.07375       	3.000001e+02
0.074         	3.000001e+02
0.07425       	3.000001e+02
0.0745        	3.000001e+02
0.07475       	3.000001e+02
0.075         	3.000001e+02
0.07525       	3.000001e+02
0.0755        	3.000001e+02
0.07575       	3.000001e+02
0.076         	3.000001e+02
0.07625       	3.000001e+02
0.0765        	3.000001e+02
0.07675       	3.000001e+02
0.077         	3.000001e+02
0.07725       	3.000001e+02
0.0775        	3.000001e+02
0.07775       	3.000001e+02
0.078         	3.000001e+02
0.07825       	3.000001e+02
0.0785        	3.000001e+02
0.07875       	3.000001e+02
0.079         	3.000001e+02
0.07925       	3.000001e+02
0.0795        	3.000001e+02
0.07975       	3.000001e+02
0.08          	3.000001e+02
0.08025       	3.000001e+02
0.0805        	3.000001e+02
0.08075       	3.000001e+02
0.081         	3.000001e+02
0.08125       	3.000001e+02
0.0815        	3.000001e+02
0.08175       	3.000001e+02
0.082         	3.000001e+02
0.08225       	3.000001e+02
0.0825        	3.000001e+02
0.08275       	3.000001e+02
0.083         	3.000001e+02
0.08325       	3.000001e+02
0.0835        	3.000001e+02
0.08375       	3.000001e+02
0.084         	3.000001e+02
0.08425       	3.000001e+02
0.0845        	3.000001e+02
0.08475       	3.000001e+02
0.085         	3.000001e+02
0.08525       	3.000001e+02
0.0855        	3.000001e+02
0.08575       	3.000001e+02
0.086         	3.000001e+02
0.08625       	3.000001e+02
0.0865        	3.000001e+02
0.08675       	3.000001e+02
0.087         	3.000001e+02
0.08725       	3.000001e+02
0.0875        	3.000001e+02
0.08775       	3.000001e+02
0.088         	3.000001e+02
0.08825       	3.000001e+02
0.0885        	3.000001e+02
0.08875       	3.000001e+02
0.089         	3.000001e+02
0.08925       	3.000001e+02
0.0895        	3.000001e+02
0.08975       	3.000001e+02
0.09          	3.000001e+02
0.09025       	3.000001e+02
0.0905        	3.000001e+02
0.09075       	3.000001e+02
0.091         	3.000001e+02
0.09125       	3.000001e+02
0.0915        	3.000001e+02
0.09175       	3.000001e+02
0.092         	3.000001e+02
0.09225       	3.000001e+02
0.0925        	3.000001e+02
0.09275       	3.000001e+02
0.093         	3.000001e+02
0.09325       	3.000001e+02
0.0935        	3.000001e+02
0.09375       	3.000001e+02
0.094         	3.000001e+02
0.09425       	3.000001e+02
0.0945        	3.000001e+02
0.09475       	3.000001e+02
0.095         	3.000001e+02
0.09525       	3.000001e+02
0.0955        	3.000001e+02
0.09575       	3.000001e+02
0.096         	3.000001e+02
0.09625       	3.000001e+02
0.0965        	3.000001e+02
0.09675       	3.000001e+02
0.097         	3.000001e+02
0.09725       	3.000001e+02
0.0975        	3.000001e+02
0.09775       	3.000001e+02
0.098         	3.000001e+02
0.09825       	3.000001e+02
0.0985        	3.000001e+02
0.09875       	3.000001e+02
0.099         	3.000001e+02
0.09925       	3.000001e+02
0.0995        	3.000001e+02
0.09975       	3.000001e+02
0.1           	3.000001e+02
0.10025       	3.000001e+02
0.1005        	3.000001e+02
0.10075       	3.000001e+02
0.101         	3.000001e+02
0.10125       	3.000001e+02
0.1015        	3.000001e+02
0.10175       	3.000001e+02
0.102         	3.000001e+02
0.10225       	3.000001e+02
0.1025        	3.000001e+02
0.10275       	3.000001e+02
0.103         	3.000001e+02
0.10325       	3.000001e+02
0.1035        	3.000001e+02
0.10375       	3.000001e+02
0.104         	3.000001e+02
0.10425       	3.000001e+02
0.1045        	3.000001e+02
0.10475       	3.000001e+02
0.105         	3.000001e+02
0.10525       	3.000001e+02
0.1055        	3.000001e+02
0.10575       	3.000001e+02
0.106         	3.000001e+02
0.10625       	3.000001e+02
0.1065        	3.000001e+02
0.10675       	3.000001e+02
0.107         	3.000001e+02
0.10725       	3.000001e+02
0.1075        	3.000001e+02
0.10775       	3.000001e+02
0.108         	3.000001e+02
0.10825       	3.000001e+02
0.1085        	3.000001e+02
0.10875       	3.000001e+02
0.109         	3.000001e+02
0.10925       	3.000001e+02
0.1095        	3.000002e+02
0.10975       	3.000002e+02
0.11          	3.000002e+02
0.11025       	3.000002e+02
0.1105        	3.000002e+02
0.11075       	3.000002e+02
0.111         	3.000002e+02
0.11125       	3.000002e+02
0.1115        	3.000002e+02
0.11175       	3.000002e+02
0.112         	3.000002e+02
0.11225       	3.000002e+02
0.1125        	3.000002e+02
0.11275       	3.000002e+02
0.113         	3.000002e+02
0.11325       	3.000002e+02
0.1135        	3.000002e+02
0.11375       	3.000002e+02
0.114         	3.000002e+02
0.11425       	3.000002e+02
0.1145        	3.000002e+02
0.11475       	3.000002e+02
0.115         	3.000002e+02
0.11525       	3.000002e+02
0.1155        	3.000002e+02
0.11575       	3.000002e+02
0.116         	3.000002e+02
0.11625       	3.000002e+02
0.1165        	3.000002e+02
0.11675       	3.000002e+02
0.117         	3.000002e+02
0.11725       	3.000002e+02
0.1175        	3.000002e+02
0.11775       	3.000002e+02
0.118         	3.000002e+02
0.11825       	3.000002e+02
